ecole;type;statut;ville_commune;adresse;telephone_1;telephone_2;whatsapp;email;site_web;interlocuteur_cible;fiabilite;source;type_email;etat_email
ESCG La Sorbonne - Groupe La Sorbonne;Grande ecole privee;Prive;Abidjan Yopougon;20 BP 105 Abidjan 20 Yopougon Ananeraie Carrefour de la Sorbonne derriere Eglise Ste Elisabeth;+225 27 23 46 85 82;+225 07 08 91 46 30;;contact@groupelasorbonne.com;groupelasorbonne.ci;Directeur des Etudes;Haute;groupelasorbonne.ci / annuaireci.com;domaine propre;morte
Groupe ETP-ESMIT;Ecole superieure - transit logistique transport;Prive;Abidjan Yopougon;Carrefour Ancien Bel Air a 100 metres de JD Edition;+225 07 08 08 89 80;+225 01 40 19 53 30;;groupe.esmit@gmail.com;https://www.esmit-ci.com;Directeur des Etudes;Haute;esmit-ci.com;gratuite;valide
IMGH Institut de Management de Gestion et d Hotellerie;Institut superieur - hotellerie restauration tourisme;Prive;Abidjan Yopougon;Yopougon Bel Air 21 BP 3437 Abidjan 21;+225 07 48 09 09 29;+225 01 02 63 56 58;;;https://imghcotedivoire.ci;Directeur des Etudes;Haute;imghcotedivoire.ci;;sans email
Lycee Professionnel Commercial de Yopougon (LPCY);Lycee professionnel;Public;Abidjan Yopougon;BP V 170 Abidjan Yopougon;+225 01 73 56 01 01;;;lpcyop@gmail.com;lpcy.sch-ci.org;Proviseur / Censeur;Haute;lpcy.sch-ci.org / edukiya.com;gratuite;valide
Universite Alassane Ouattara (UAO);Universite publique;Public;Bouake;BP V 18 Bouake 01 Ahougnassou route de Beoumi;+225 27 31 60 50 24;;;infoline@uao.edu.ci;univ-ao.edu.ci;Directeur des Etudes;Haute;univ-ao.edu.ci;domaine propre;valide
IFED - Institut de Formation et d'Education de Daloa;Institut de formation;Prive;Daloa;Abattoir 2 BP 2350 Daloa;+225 27 32 78 09 88;;;;;Directeur des Etudes;Moyenne;AnnuaireCI + CiTrade;;sans email
Universite Jean Lorougnon Guede (UJLoG);Universite publique;Public;Daloa;Quartier Lobia BP 150 Daloa;+225 27 32 78 75 83;;;sercom@ujlg.edu.ci;ujlog.edu.ci;Directeur des Etudes;Haute;ujlog.edu.ci;domaine propre;valide
Ecole Hoteliere de Grand-Bassam EHB;Ecole hoteliere - hotellerie restauration tourisme;Prive;Grand-Bassam;;+225 07 77 24 39 70;+225 27 21 00 09 69;;;https://www.ecolehotelieredegrandbassam.com;Directeur des Etudes;Moyenne;edukiya.com;;sans email
IIT - Institut Ivoirien de Technologie;Ecole d'ingenieurs - informatique reseaux cybersecurite;Prive;Grand-Bassam;VITIB Zone Franche Village des Technologies - 06 BP 6248 Abidjan 06;+225 01 53 15 15 15;;;contact@iit.ci;iit.ci;Directeur des Etudes;Haute;Site officiel iit.ci;domaine propre;valide
Universite Internationale de Grand-Bassam (UIGB/IUGB);Universite internationale;Prive;Grand-Bassam (+ bureau Abidjan Deux Plateaux);Route de Bonoua, Grand-Bassam / Bd des Martyrs Rue K12 Villa 175, 04 BP 1062 Abidjan;+225 27 21 30 34 57;+225 27 22 41 30 41;;info@uigb.org;www.uigb.net;Dean / Directeur des Etudes;Moyenne;uigb.net + AnnuaireCI;domaine propre;morte
ISACM - Institut Superieur des Arts et du Commerce Management;Ecole superieure;Prive;Korhogo;;;;;contact@isacm.ci;isacm-educ.com;Directeur des Etudes;Haute;Site officiel isacm-educ.com;domaine propre;morte
Universite Peleforo Gon Coulibaly (UPGC);Universite publique;Public;Korhogo;Korhogo;+225 07 48 61 71 14;+225 01 51 21 56 05;;;univ-pgc.edu.ci;Directeur des Etudes;Moyenne;facebook.com/upgc.edu;;sans email
ESGS San-Pedro - Ecole Superieure de Gestion et des Specialites;Ecole superieure;Prive;San-Pedro;Quartier Balmer Lot 125 Ilot 9;+225 07 89 07 07 01;;;esgs.sp.ci@gmail.com;esgs-ci.com;Directeur des Etudes;Moyenne;esgs-ci.com;gratuite;valide
Universite Polytechnique de San-Pedro (USP);Universite publique;Public;San-Pedro;BP 1800 San-Pedro;+225 05 06 88 56 46;+225 27 34 70 12 84;;informations@usp.edu.ci;usp.edu.ci;Directeur des Etudes;Haute;Site officiel usp.edu.ci;domaine propre;valide
College Heleis Yamoussoukro;College-lycee prive avec filieres techniques;Prive;Yamoussoukro;Yamoussoukro;+225 27 30 64 77 33;;;collegeheleis@hotmail.fr;collegeheleis.com;Proviseur / Censeur;Moyenne;collegeheleis.com;gratuite;valide
ESAM Yamoussoukro - Ecole Superieure des Affaires et du Management;Ecole superieure;Prive;Yamoussoukro;BP 2581 Yamoussoukro;+225 27 30 64 20 42;+225 27 30 64 27 64;;;;Directeur des Etudes (par campus);Moyenne;AnnuaireCI;;sans email
ESETEC - Ecole Superieure de l'Enseignement Technique et Commercial;Ecole superieure technique et commerciale;Prive;Yamoussoukro;Quartier Habitat pres de la PMI BP 2464;+225 07 07 86 73 38;+225 07 07 03 70 04;;;esetec.ci;Directeur des Etudes;Moyenne;AnnuaireCI;;sans email
ESGS Yamoussoukro - Ecole Superieure de Gestion et des Specialites;Ecole superieure;Prive;Yamoussoukro;;+225 07 89 07 07 01;;;esgs.sp.ci@gmail.com;esgs-ci.com;Directeur des Etudes;Moyenne;esgs-ci.com (antenne);gratuite;valide
Lycee Scientifique de Yamoussoukro;Lycee public d'excellence;Public;Yamoussoukro;Yamoussoukro;+225 27 30 64 07 88;;;lyceescientifiqueyakro@gmail.com;lsy.ci;Proviseur / Censeur;Haute;lsy.ci;gratuite;valide
SUPAGRO AFRIQUE;Ecole superieure - agronomie et industrie agro-alimentaire;Prive;Yamoussoukro;;+225 27 30 00 28 88;+225 07 69 69 66 19;;infos@supagro-afrique.com;https://www.supagro-afrique.com;Directeur des Etudes;Haute;supagro-afrique.com;domaine propre;valide
INP-HB (Institut National Polytechnique Felix Houphouet-Boigny);Grande ecole publique de reference;Public;Yamoussoukro (+ antenne Abidjan);BP 1093 Yamoussoukro / BP V 79 Abidjan;+225 27 30 64 66 61;+225 05 01 80 00 19;;secretariatdg@inphb.ci;inphb.edu.ci;Directeur des Etudes / Directeur de Centre;Moyenne;inphb.edu.ci;domaine propre;valide
